Symbol,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6
FOS,1.992345497,1.356293795,1.857615113,0.241979365,0.823279883,5.373629146,7.014498888,19.68603691,5.641841567,8.320720454
GADD45A,1.008370991,1.674534201,1.821687986,0.61864945,0.52549309,2.175388336,0.77210713,2.916761701,1.219056828,0.980051878
HCK,1.259927202,0.476701725,0.741099434,1.160121305,1.936546543,0.388886987,2.048593786,1.295891019,0.279468976,1.997268243
HMGA1,1.517732535,0.37815711,0.99523416,1.321786011,1.324482001,0.841508933,0.868497838,0.908895753,0.698258342,1.926239339
HTATSF1,1.2603437,0.916604492,0.867603836,0.910431526,1.095873114,1.413042796,1.041791039,1.147543779,1.139772131,1.158886362
IFNA1,0.401472106,0.613145404,0.771070711,15.34387684,0.343361688,1.604329125,1.165650782,4.279224806,1.93126376,1.13233572
INFB1,1.001482296,0.706416603,0.44895779,4.635402041,0.679208178,1.69068329,0.551147541,11.70168027,1.369509947,1.077040689
IFNG,0.753497352,2.691575847,1.337846544,0.352200253,1.046443254,3.699830316,1.570753874,18.89109769,1.566076755,1.549699864
IL10,0.686486456,9.713545206,1.315664763,0.533162173,0.213789164,10.60938003,3.107021668,13.48364155,2.098973222,2.056726392
IL12B,0.590134394,0.85707491,1.077828124,3.82185002,0.479962316,1.487015476,1.080414689,16.5680006,1.79004361,1.04953573
IL16,2.27134844,0.600143418,1.596082998,0.418859424,1.09733044,2.01521638,0.422281517,1.01112635,1.074930222,1.041280728
IL1B,2.762138964,2.09565307,0.934487429,0.315216504,0.586479284,3.345629834,2.809886053,273.325498,0.587923089,2.885411047
IL2,0.44353825,7.312314208,0.584911262,2.858150909,0.18443313,1.991676566,1.869464659,4.899151449,1.535702026,0.497359913
IL8,1.048742066,4.845939617,3.955797728,0.061188443,0.812923791,10.35619371,2.242835708,185.2635642,5.320674665,2.635575009
IRF1,1.940443072,1.061159414,1.685875948,0.404312734,0.712484511,2.513676187,1.117997098,2.810404697,1.886891849,0.627404609
IRF2,2.008638414,0.308717132,0.671178838,0.961012096,2.500174926,0.500354415,1.058000796,0.822075648,0.319031567,1.427030006
KLRD1,1.05525888,1.284054676,0.570124652,0.66187933,1.955729694,1.826162026,1.284946233,1.244804376,0.436782244,1.331103504
LTBR,0.916322909,1.041737876,0.816085159,1.051772086,1.220494652,1.026546512,1.8767998,1.699007511,1.510126353,1.513975707
MAP3K5,0.610011949,1.358162795,0.659888609,1.182496957,1.546817813,1.632282961,1.180069385,2.199893877,1.473608,1.418611475
MBL2,0.417573792,0.63773659,0.801995746,13.1106334,0.357132762,1.604329125,1.165650782,2.021904632,1.93126376,1.13233572
NFATC1,1.40443121,1.04915838,1.483575914,0.578318157,0.791009815,1.979649024,0.835628901,1.626425469,2.711894818,1.236613363
NFKBIA,0.766179656,1.632309289,1.478692248,0.417339452,1.295685787,2.48389413,1.084303456,12.63998718,1.509788584,1.110296076
PPIA,1.83958792,0.946536558,1.74190411,0.48775377,0.675954058,2.090643714,0.512066253,0.903337271,1.109425663,0.910600776
